,,,,,,,,,,,,,
First,Last,Team,Pos,Opponent,Spread,OverUnder,RushAtt,RushYards,RushTD,Rec,RecYards,RecTD,FantasyPts
Eddie,Lacy,GB,RB,CHI,-6,50,22,111,1,4,29,0,20
LeSean,McCoy,BUF,RB,IND,,46.5,22,108,1,2,23,0,19.1
Jamaal,Charles,KC,RB,HOU,,41,17,89,1,3,37,0,18.6
Marshawn,Lynch,SEA,RB,STL,-3.5,43,22,100,1,2,12,0,17.2
Adrian,Peterson,MIN,RB,SF,0,41.5,22,110,1,0,0,0,17
Adrian,Peterson,MIN,RB,PIT,,,22,110,1,0,0,0,17
Matt,Forte,CHI,RB,GB,,50,18,79,1,5,29,0,16.8
Jeremy,Hill,CIN,RB,OAK,-3.5,44,17,88,1,3,19,0,16.7
Joseph,Randle,DAL,RB,NYG,-6,50,18,90,1,2,11,0,16.1
C.J.,Anderson,DEN,RB,BAL,-4,51,16,80,1,3,21,0,16.1
Justin,Forsett,BAL,RB,DEN,,51,18,89,1,2,11,0,16
Jonathan,Stewart,CAR,RB,JAX,-3,41,18,87,1,3,11,0,15.8
DeMarco,Murray,PHI,RB,ATL,-1,53.5,18,87,1,2,11,0,15.8
Latavius,Murray,OAK,RB,CIN,,44,15,80,1,1,17,0,15.7
Melvin,Gordon,SD,RB,DET,-2.5,45.5,17,74,1,2,20,0,15.4
Alfred,Morris,WAS,RB,MIA,,43.5,22,92,1,0,0,0,15.2
Rashad,Jennings,NYG,RB,DAL,,50,16,78,1,1,11,0,14.9
Alfred,Blue,HOU,RB,KC,-1.5,41,18,77,1,2,11,0,14.8
Mark,Ingram,NO,RB,ARI,,47,18,87,1,0,0,0,14.7
Lamar,Miller,MIA,RB,WAS,-3,43.5,17,84,1,0,0,0,14.4
Isaiah,Crowell,CLE,RB,NYJ,,40.5,14,65,1,2,17,0,14.2
Carlos,Hyde,SF,RB,MIN,,41.5,18,80,1,0,0,0,14
Joique,Bell,DET,RB,SD,,45.5,15,66,1,2,14,0,14
Frank,Gore,IND,RB,BUF,-2.5,46.5,16,80,1,0,0,0,14
T.J.,Yeldon,JAC,RB,CAR,,41,14,65,1,2,13,0,13.8
DeAngelo,Williams,PIT,RB,MIN,,,15,66,1,2,11,0,13.7
DeAngelo,Williams,PIT,RB,NE,,48.5,15,66,1,2,11,0,13.7
Andre,Ellington,ARZ,RB,NO,-3,47,13,55,1,2,18,0,13.3
Tre,Mason,STL,RB,SEA,,43,15,70,1,0,0,0,13
Chris,Ivory,NYJ,RB,CLE,-3,40.5,14,58,1,0,0,0,11.8
Doug,Martin,TB,RB,TEN,-3,42,11,51,1,0,0,0,11.1
Bishop,Sankey,TEN,RB,TB,,42,14,51,1,0,0,0,11.1
Devonta,Freeman,ATL,RB,PHI,,53.5,11,57,0,2,18,0,7.5
Tevin,Coleman,ATL,RB,PHI,,53.5,9,45,0,3,30,0,7.5
David,Cobb,TEN,RB,TB,,42,11,70,0,0,0,0,7
C.J.,Spiller,NO,RB,ARI,,47,5,18,0,4,39,0,5.7
Jonas,Gray,NE,RB,PIT,-3,48.5,12,55,0,0,0,0,5.5
Fred,Jackson,BUF,RB,IND,,46.5,7,33,0,4,21,0,5.4
Giovani,Bernard,CIN,RB,OAK,-3.5,44,8,34,0,2,18,0,5.2
Reggie,Bush,SF,RB,MIN,,41.5,5,17,0,3,30,0,4.7
Ameer,Abdullah,DET,RB,SD,,45.5,4,23,0,2,23,0,4.6
David,Johnson,ARZ,RB,NO,-3,47,8,45,0,0,0,0,4.5
Charles,Sims,TB,RB,TEN,-3,42,10,44,0,0,0,0,4.4
Brandon,Bolden,NE,RB,PIT,-3,48.5,8,44,0,0,0,0,4.4
James,Starks,GB,RB,CHI,-6,50,8,44,0,0,0,0,4.4
Chris,Polk,HOU,RB,KC,-1.5,41,8,33,0,2,10,0,4.3
Dan,Herron,IND,RB,BUF,-2.5,46.5,6,29,0,1,13,0,4.2
Knile,Davis,KC,RB,HOU,,41,7,22,0,2,19,0,4.1
Dri,Archer,PIT,RB,MIN,,,7,27,0,2,14,0,4.1
Dri,Archer,PIT,RB,NE,,48.5,7,27,0,2,14,0,4.1
Terrance,West,CLE,RB,NYJ,,40.5,8,34,0,1,7,0,4.1
Jay,Ajayi,MIA,RB,WAS,-3,43.5,8,40,0,0,0,0,4
Darren,McFadden,DAL,RB,NYG,-6,50,9,40,0,0,0,0,4
Shane,Vereen,NYG,RB,DAL,,50,5,18,0,3,21,0,3.9
Ronnie,Hillman,DEN,RB,BAL,-4,51,4,18,0,2,19,0,3.7
