,,,,,,,,,,,,,
First,Last,Team,Pos,Opponent,Spread,OverUnder,Rec,RecYards,RecTD,RushAtt,RushYards,RushTD,FantasyPts
Demaryius,Thomas,DEN,WR,BAL,-4,51,10,116,1,0,0,0,17.6
Dez,Bryant,DAL,WR,NYG,-6,50,8,116,1,0,0,0,17.6
Odell,Beckham,NYG,WR,DAL,,50,9,116,1,0,0,0,17.6
Calvin,Johnson,DET,WR,SD,,45.5,8,110,1,0,0,0,17
Jordy,Nelson,GB,WR,CHI,-6,50,8,109,1,0,0,0,16.9
T.Y.,Hilton,IND,WR,BUF,-2.5,46.5,8,108,1,0,0,0,16.8
Julio,Jones,ATL,WR,PHI,,53.5,8,107,1,0,0,0,16.7
Antonio,Brown,PIT,WR,MIN,,,9,104,1,0,0,0,16.4
Antonio,Brown,PIT,WR,NE,,48.5,9,104,1,0,0,0,16.4
Alshon,Jeffery,CHI,WR,GB,,50,8,104,1,0,0,0,16.4
Mike,Evans,TB,WR,TEN,-3,42,7,97,1,0,0,0,15.7
Jordan,Matthews,PHI,WR,ATL,-1,53.5,7,94,1,0,0,0,15.4
Randall,Cobb,GB,WR,CHI,-6,50,7,94,1,0,0,0,15.4
DeAndre,Hopkins,HOU,WR,KC,-1.5,41,8,93,1,0,0,0,15.3
Emmanuel,Sanders,DEN,WR,BAL,-4,51,8,92,1,0,0,0,15.2
A.J.,Green,CIN,WR,OAK,-3.5,44,7,92,1,0,0,0,15.2
DeSean,Jackson,WAS,WR,MIA,,43.5,6,91,1,0,0,0,15.1
Brandin,Cooks,NO,WR,ARI,,47,5,90,1,0,0,0,15
Steve,Smith,BAL,WR,DEN,,51,5,88,1,0,0,0,14.8
Torrey,Smith,SF,WR,MIN,,41.5,5,87,1,0,0,0,14.7
Sammy,Watkins,BUF,WR,IND,,46.5,7,84,1,0,0,0,14.4
Julian,Edelman,NE,WR,PIT,-3,48.5,7,70,0,2,13,1,14.3
Jeremy,Maclin,KC,WR,HOU,,41,7,81,1,0,0,0,14.1
Brandon,Marshall,NYJ,WR,CLE,-3,40.5,7,81,1,0,0,0,14.1
Anquan,Boldin,SF,WR,MIN,,41.5,6,77,1,0,0,0,13.7
Michael,Floyd,ARZ,WR,NO,-3,47,4,74,1,0,0,0,13.4
Marques,Colston,NO,WR,ARI,,47,6,71,1,0,0,0,13.1
Mike,Wallace,MIN,WR,SF,0,41.5,6,70,1,0,0,0,13
Mike,Wallace,MIN,WR,PIT,,,6,70,1,0,0,0,13
Keenan,Allen,SD,WR,DET,-2.5,45.5,6,70,1,0,0,0,13
Amari,Cooper,OAK,WR,CIN,,44,4,70,1,0,0,0,13
Kenny,Britt,STL,WR,SEA,,43,6,68,1,0,0,0,12.8
Eric,Decker,NYJ,WR,CLE,-3,40.5,7,61,1,0,0,0,12.1
Nelson,Agholor,PHI,WR,ATL,-1,53.5,5,60,1,0,0,0,12
Vincent,Jackson,TB,WR,TEN,-3,42,6,96,0,0,0,0,9.6
Roddy,White,ATL,WR,PHI,,53.5,7,91,0,0,0,0,9.1
Golden,Tate,DET,WR,SD,,45.5,7,90,0,0,0,0,9
Charles,Johnson,MIN,WR,SF,0,41.5,5,89,0,0,0,0,8.900001
Charles,Johnson,MIN,WR,PIT,,,5,89,0,0,0,0,8.900001
Kenny,Stills,MIA,WR,WAS,-3,43.5,5,88,0,0,0,0,8.8
Rueben,Randle,NYG,WR,DAL,,50,7,88,0,0,0,0,8.8
Larry,Fitzgerald,ARZ,WR,NO,-3,47,6,88,0,0,0,0,8.8
