Drew Brees (NO - QB)	Sun 1:00PM	OAK	NO (-1)	51	NO 26	4	3	-1	22.29	$8,100	$363
Derek Carr (OAK - QB)	Sun 1:00PM	@NO	OAK (+1)	51	OAK 25	5	7	2	21.92	$7,300	$333
Eli Manning (NYG - QB)	Sun 4:25PM	@DAL	Even	46	NYG 23	6	5	-1	19.26	$7,500	$389
Blake Bortles (JAC - QB)	Sun 1:00PM	GB	JAC (+4.5)	48	JAC 22	7	9	2	18.91	$7,200	$381
Carson Palmer (ARI - QB)	Sun 8:30PM	NE	ARI (-6)	47.5	ARI 27	8	10	2	18.89	$7,100	$376
Matthew Stafford (DET - QB)	Sun 4:25PM	@IND	DET (+3.5)	51.5	DET 24	9	8	-1	18.89	$7,200	$381
Tyrod Taylor (BUF - QB)	Sun 1:00PM	@BAL	BUF (+3)	44.5	BUF 21	10	13	3	18.72	$6,900	$369
Jameis Winston (TB - QB)	Sun 1:00PM	@ATL	TB (+3)	47.5	TB 22	11	17	6	18.23	$6,600	$362
Philip Rivers (SD - QB)	Sun 1:00PM	@KC	SD (+7)	44.5	SD 19	12	12	0	18.19	$7,000	$385
Matt Ryan (ATL - QB)	Sun 1:00PM	TB	ATL (-3)	47.5	ATL 25	13	11	-2	18.03	$7,100	$394
Dak Prescott (DAL - QB)	Sun 4:25PM	NYG	Even	46	DAL 23	14	74	60	17.92	$5,000	$279
Marcus Mariota (TEN - QB)	Sun 1:00PM	MIN	TEN (+2)	41	TEN 20	15	21	6	17.56	$6,400	$364
Robert Griffin (CLE - QB)	Sun 1:00PM	@PHI	CLE (+4)	41	CLE 19	16	27	11	17.44	$5,600	$321
Andy Dalton (CIN - QB)	Sun 1:00PM	@NYJ	CIN (-2.5)	41.5	CIN 22	17	15	-2	17	$6,800	$400
Brock Osweiler (HOU - QB)	Sun 1:00PM	CHI	HOU (-6.5)	44	HOU 25	18	23	5	16.97	$6,300	$371
Alex Smith (KC - QB)	Sun 1:00PM	SD	KC (-7)	44.5	KC 26	19	19	0	16.75	$6,500	$388
Jimmy Garoppolo (NE - QB)	Sun 8:30PM	@ARI	NE (+6)	47.5	NE 21	20	24	4	16.74	$6,200	$370
Ryan Fitzpatrick (NYJ - QB)	Sun 1:00PM	CIN	NYJ (+2.5)	41.5	NYJ 20	21	18	-3	16.63	$6,500	$391
Joe Flacco (BAL - QB)	Sun 1:00PM	BUF	BAL (-3)	44.5	BAL 24	22	16	-6	16.03	$6,700	$418
Jay Cutler (CHI - QB)	Sun 1:00PM	@HOU	CHI (+6.5)	44	CHI 19	23	22	-1	15.92	$6,300	$396
Sam Bradford (PHI - QB)	Sun 1:00PM	CLE	PHI (-4)	41	PHI 23	24	20	-4	14.98	$6,400	$427
Carson Wentz (PHI - QB)	Sun 1:00PM	CLE	PHI (-4)	41	PHI 23	25	89	64	14.55	$5,000	$344
Ryan Tannehill (MIA - QB)	Sun 4:05PM	@SEA	MIA (+10.5)	44	MIA 17	26	26	0	12.93	$5,900	$456
Shaun Hill (MIN - QB)	Sun 1:00PM	@TEN	MIN (-2)	41	MIN 22	27	31	4	8.39	$5,000	$596
Chase Daniel (PHI - QB)	Sun 1:00PM	CLE	PHI (-4)	41	PHI 23	28	39	11	2.01	$5,000	$2485
Joe Callahan (GB - QB)	Sun 1:00PM	@JAC	GB (-4.5)	48	GB 26	74	91	17	0	$5,000	$0
Cardale Jones (BUF - QB)	Sun 1:00PM	@BAL	BUF (+3)	44.5	BUF 21	72	92	20	0	$5,000	$0
Christian Hackenberg (NYJ - QB)	Sun 1:00PM	CIN	NYJ (+2.5)	41.5	NYJ 20	73	93	20	0	$5,000	$0
Jake Rudock (DET - QB)	Sun 4:25PM	@IND	DET (+3.5)	51.5	DET 24	77	88	11	0	$5,000	$0
Jacoby Brissett (NE - QB)	Sun 8:30PM	@ARI	NE (+6)	47.5	NE 21	71	86	15	0	$5,000	$0
Mike Bercovici (SD - QB)	Sun 1:00PM	@KC	SD (+7)	44.5	SD 19	78	77	-1	0	$5,000	$0
Joe Licata (CIN - QB)	Sun 1:00PM	@NYJ	CIN (-2.5)	41.5	CIN 22	76	87	11	0	$5,000	$0
Alex Tanney (TEN - QB)	Sun 1:00PM	MIN	TEN (+2)	41	TEN 20	75	90	15	0	$5,000	$0
Kevin Hogan (KC - QB)	Sun 1:00PM	SD	KC (-7)	44.5	KC 26	67	80	13	0	$5,000	$0
Brandon Allen (JAC - QB)	Sun 1:00PM	GB	JAC (+4.5)	48	JAC 22	64	83	19	0	$5,000	$0
Trevone Boykin (SEA - QB)	Sun 4:05PM	MIA	SEA (-10.5)	44	SEA 27	63	82	19	0	$5,000	$0
Jake Coker (ARI - QB)	Sun 8:30PM	NE	ARI (-6)	47.5	ARI 27	65	84	19	0	$5,000	$0
Taylor Heinicke (MIN - QB)	Sun 1:00PM	@TEN	MIN (-2)	41	MIN 22	66	81	15	0	$5,000	$0
Joel Stave (MIN - QB)	Sun 1:00PM	@TEN	MIN (-2)	41	MIN 22	69	79	10	0	$5,000	$0
Marquise Williams (GB - QB)	Sun 1:00PM	@JAC	GB (-4.5)	48	GB 26	68	78	10	0	$5,000	$0
Connor Cook (OAK - QB)	Sun 1:00PM	@NO	OAK (+1)	51	OAK 25	70	85	15	0	$5,000	$0
Jameill Showers (DAL - QB)	Sun 4:25PM	NYG	Even	46	DAL 23	92	71	-21	0	$5,000	$0
Cody Kessler (CLE - QB)	Sun 1:00PM	@PHI	CLE (+4)	41	CLE 19	90	75	-15	0	$5,000	$0
Brett Hundley (GB - QB)	Sun 1:00PM	@JAC	GB (-4.5)	48	GB 26	89	73	-16	0	$5,000	$0
Keith Wenning (CIN - QB)	Sun 1:00PM	@NYJ	CIN (-2.5)	41.5	CIN 22	88	68	-20	0	$5,000	$0
Brandon Doughty (MIA - QB)	Sun 4:05PM	@SEA	MIA (+10.5)	44	MIA 17	91	72	-19	0	$5,000	$0
Bryce Petty (NYJ - QB)	Sun 1:00PM	CIN	NYJ (+2.5)	41.5	NYJ 20	62	59	-3	0	$5,000	$0
Connor Shaw (CHI - QB)	Sun 1:00PM	@HOU	CHI (+6.5)	44	CHI 19	94	70	-24	0	$5,000	$0
Tyler Bray (KC - QB)	Sun 1:00PM	SD	KC (-7)	44.5	KC 26	93	69	-24	0	$5,000	$0
Garrett Grayson (NO - QB)	Sun 1:00PM	OAK	NO (-1)	51	NO 26	87	67	-20	0	$5,000	$0
AJ McCarron (CIN - QB)	Sun 1:00PM	@NYJ	CIN (-2.5)	41.5	CIN 22	86	61	-25	0	$5,000	$0
Stephen Morris (IND - QB)	Sun 4:25PM	DET	IND (-3.5)	51.5	IND 28	81	65	-16	0	$5,000	$0
Geno Smith (NYJ - QB)	Sun 1:00PM	CIN	NYJ (+2.5)	41.5	NYJ 20	80	64	-16	0	$5,000	$0
Jake Heaps (SEA - QB)	Sun 4:05PM	MIA	SEA (-10.5)	44	SEA 27	82	66	-16	0	$5,000	$0
David Fales (CHI - QB)	Sun 1:00PM	@HOU	CHI (+6.5)	44	CHI 19	83	63	-20	0	$5,000	$0
Logan Thomas (NYG - QB)	Sun 4:25PM	@DAL	Even	46	NYG 23	85	60	-25	0	$5,000	$0
Tom Savage (HOU - QB)	Sun 1:00PM	CHI	HOU (-6.5)	44	HOU 25	84	62	-22	0	$5,000	$0
Max Wittek (JAC - QB)	Sun 1:00PM	GB	JAC (+4.5)	48	JAC 22	79	76	-3	0	$5,000	$0
Scott Tolzien (IND - QB)	Sun 4:25PM	DET	IND (-3.5)	51.5	IND 28	47	40	-7	0	$5,000	$0
Matt McGloin (OAK - QB)	Sun 1:00PM	@NO	OAK (+1)	51	OAK 25	39	55	16	0	$5,000	$0
Sean Renfree (ATL - QB)	Sun 1:00PM	TB	ATL (-3)	47.5	ATL 25	38	50	12	0	$5,000	$0
E.J. Manuel (BUF - QB)	Sun 1:00PM	@BAL	BUF (+3)	44.5	BUF 21	37	49	12	0	$5,000	$0
Matt Barkley (ARI - QB)	Sun 8:30PM	NE	ARI (-6)	47.5	ARI 27	40	56	16	0	$5,000	$0
Zach Mettenberger (SD - QB)	Sun 1:00PM	@KC	SD (+7)	44.5	SD 19	41	57	16	0	$5,000	$0
Ryan Griffin (TB - QB)	Sun 1:00PM	@ATL	TB (+3)	47.5	TB 22	43	53	10	0	$5,000	$0
Zac Dysert (MIA - QB)	Sun 4:05PM	@SEA	MIA (+10.5)	44	MIA 17	42	54	12	0	$5,000	$0
Ryan Mallett (BAL - QB)	Sun 1:00PM	BUF	BAL (-3)	44.5	BAL 24	36	43	7	0	$5,000	$0
Jerrod Johnson (BAL - QB)	Sun 1:00PM	BUF	BAL (-3)	44.5	BAL 24	35	42	7	0	$5,000	$0
Austin Davis (CLE - QB)	Sun 1:00PM	@PHI	CLE (+4)	41	CLE 19	30	46	16	0	$5,000	$0
Josh McCown (CLE - QB)	Sun 1:00PM	@PHI	CLE (+4)	41	CLE 19	29	94	65	0	$5,000	$0
Nick Foles (KC - QB)	Sun 1:00PM	SD	KC (-7)	44.5	KC 26	31	47	16	0	$5,000	$0
Matt Simms (ATL - QB)	Sun 1:00PM	TB	ATL (-3)	47.5	ATL 25	32	48	16	0	$5,000	$0
Kellen Moore (DAL - QB)	Sun 4:25PM	NYG	Even	46	DAL 23	34	44	10	0	$5,000	$0
Brandon Weeden (HOU - QB)	Sun 1:00PM	CHI	HOU (-6.5)	44	HOU 25	33	45	12	0	$5,000	$0
Mike Glennon (TB - QB)	Sun 1:00PM	@ATL	TB (+3)	47.5	TB 22	44	51	7	0	$5,000	$0
Ryan Nassib (NYG - QB)	Sun 4:25PM	@DAL	Even	46	NYG 23	45	52	7	0	$5,000	$0
Josh Johnson (BAL - QB)	Sun 1:00PM	BUF	BAL (-3)	44.5	BAL 24	56	38	-18	0	$5,000	$0
Chad Henne (JAC - QB)	Sun 1:00PM	GB	JAC (+4.5)	48	JAC 22	55	37	-18	0	$5,000	$0
Brian Hoyer (CHI - QB)	Sun 1:00PM	@HOU	CHI (+6.5)	44	CHI 19	57	36	-21	0	$5,000	$0
Luke McCown (NO - QB)	Sun 1:00PM	OAK	NO (-1)	51	NO 26	58	35	-23	0	$5,000	$0
Matt Schaub (ATL - QB)	Sun 1:00PM	TB	ATL (-3)	47.5	ATL 25	60	34	-26	0	$5,000	$0
Drew Stanton (ARI - QB)	Sun 8:30PM	NE	ARI (-6)	47.5	ARI 27	59	33	-26	0	$5,000	$0
Matt Moore (MIA - QB)	Sun 4:05PM	@SEA	MIA (+10.5)	44	MIA 17	54	32	-22	0	$5,000	$0
Kellen Clemens (SD - QB)	Sun 1:00PM	@KC	SD (+7)	44.5	SD 19	53	30	-23	0	$5,000	$0
Matt Cassel (TEN - QB)	Sun 1:00PM	MIN	TEN (+2)	41	TEN 20	48	28	-20	0	$5,000	$0
McLeod Bethel-Thompson (PHI - QB)	Sun 1:00PM	CLE	PHI (-4)	41	PHI 23	46	41	-5	0	$5,000	$0
Dan Orlovsky (DET - QB)	Sun 4:25PM	@IND	DET (+3.5)	51.5	DET 24	49	29	-20	0	$5,000	$0
Teddy Bridgewater (MIN - QB)	Sun 1:00PM	@TEN	MIN (-2)	41	MIN 22	50	25	-25	0	$6,000	$0
Tony Romo (DAL - QB)	Sun 4:25PM	NYG	Even	46	DAL 23	52	14	-38	0	$6,800	$0
Tom Brady (NE - QB)	Sun 8:30PM	@ARI	NE (+6)	47.5	NE 21	51	6	-45	0	$7,400	$0
Aaron Murray (KC - QB)	Sun 1:00PM	SD	KC (-7)	44.5	KC 26	61	58	-3	0	$5,000	$0
