Player 	 Kickoff 	 Opponent 	 Spread 	 Over/Under 	 Predicted Score 	 Weather 	 Projected Rank 	 Salary Rank 	 Difference 	 Projected Points 	 Salary 	 CPP 
Seattle Seahawks (SEA - DST)	Sun 4:05PM	MIA	SEA (-10.5)	44	SEA 27		1	1	0	14.96	$3,900	$261
Arizona Cardinals (ARI - DST)	Sun 8:30PM	NE	ARI (-6)	47.5	ARI 27		2	3	1	14.49	$3,500	$242
Kansas City Chiefs (KC - DST)	Sun 1:00PM	SD	KC (-7)	44.5	KC 26		4	2	-2	14.06	$3,600	$256
Houston Texans (HOU - DST)	Sun 1:00PM	CHI	HOU (-6.5)	44	HOU 25		3	6	3	14.06	$3,200	$228
Cincinnati Bengals (CIN - DST)	Sun 1:00PM	@NYJ	CIN (-2.5)	41.5	CIN 22		5	8	3	13.98	$3,000	$215
Minnesota Vikings (MIN - DST)	Sun 1:00PM	@TEN	MIN (-2)	41	MIN 22		6	7	1	13.98	$3,100	$222
New England Patriots (NE - DST)	Sun 8:30PM	@ARI	NE (+6)	47.5	NE 21		7	10	3	13.96	$2,900	$208
New York Jets (NYJ - DST)	Sun 1:00PM	CIN	NYJ (+2.5)	41.5	NYJ 20		8	4	-4	13.87	$3,400	$245
Philadelphia Eagles (PHI - DST)	Sun 1:00PM	CLE	PHI (-4)	41	PHI 23		9	5	-4	13.87	$3,300	$238
Green Bay Packers (GB - DST)	Sun 1:00PM	@JAC	GB (-4.5)	48	GB 26		10	12	2	13.86	$2,800	$202
Buffalo Bills (BUF - DST)	Sun 1:00PM	@BAL	BUF (+3)	44.5	BUF 21		11	9	-2	13.83	$2,900	$210
Baltimore Ravens (BAL - DST)	Sun 1:00PM	BUF	BAL (-3)	44.5	BAL 24		12	15	3	13.65	$2,700	$198
Oakland Raiders (OAK - DST)	Sun 1:00PM	@NO	OAK (+1)	51	OAK 25		13	22	9	13.63	$2,400	$176
Jacksonville Jaguars (JAC - DST)	Sun 1:00PM	GB	JAC (+4.5)	48	JAC 22		14	23	9	13.58	$2,400	$177
Miami Dolphins (MIA - DST)	Sun 4:05PM	@SEA	MIA (+10.5)	44	MIA 17		15	26	11	13.56	$2,200	$162
Detroit Lions (DET - DST)	Sun 4:25PM	@IND	DET (+3.5)	51.5	DET 24		16	20	4	13.51	$2,500	$185
Tennessee Titans (TEN - DST)	Sun 1:00PM	MIN	TEN (+2)	41	TEN 20		17	16	-1	13.32	$2,600	$195
Cleveland Browns (CLE - DST)	Sun 1:00PM	@PHI	CLE (+4)	41	CLE 19		18	24	6	12.35	$2,300	$186
New York Giants (NYG - DST)	Sun 4:25PM	@DAL	Even	46	NYG 23		19	14	-5	12.15	$2,700	$222
Chicago Bears (CHI - DST)	Sun 1:00PM	@HOU	CHI (+6.5)	44	CHI 19		20	18	-2	11.83	$2,500	$211
Tampa Bay Buccaneers (TB - DST)	Sun 1:00PM	@ATL	TB (+3)	47.5	TB 22		21	17	-4	11.73	$2,600	$222
Atlanta Falcons (ATL - DST)	Sun 1:00PM	TB	ATL (-3)	47.5	ATL 25		22	11	-11	11.59	$2,800	$242
San Diego Chargers (SD - DST)	Sun 1:00PM	@KC	SD (+7)	44.5	SD 19		23	21	-2	11.53	$2,500	$217
Dallas Cowboys (DAL - DST)	Sun 4:25PM	NYG	Even	46	DAL 23		24	19	-5	11.52	$2,500	$217
Indianapolis Colts (IND - DST)	Sun 4:25PM	DET	IND (-3.5)	51.5	IND 28		25	13	-12	11.31	$2,700	$239
New Orleans Saints (NO - DST)	Sun 1:00PM	OAK	NO (-1)	51	NO 26		26	25	-1	11.13	$2,300	$207
