Player 	 Kickoff 	 Opponent 	 Spread 	 Over/Under 	 Predicted Score 	 Weather 	 Projected Rank 	 Salary Rank 	 Difference 	 Projected Points 	 Salary 	 CPP 
Rob Gronkowski (NE - TE)	Sun 8:30PM	@ARI	NE (+6)	47.5	NE 21		1	1	0	13.16	$7,400	$562
Travis Kelce (KC - TE)	Sun 1:00PM	SD	KC (-7)	44.5	KC 26		2	2	0	12.31	$5,000	$406
Delanie Walker (TEN - TE)	Sun 1:00PM	MIN	TEN (+2)	41	TEN 20		3	6	3	12.28	$4,500	$366
Coby Fleener (NO - TE)	Sun 1:00PM	OAK	NO (-1)	51	NO 26		4	3	-1	11.56	$4,900	$424
Gary Barnidge (CLE - TE)	Sun 1:00PM	@PHI	CLE (+4)	41	CLE 19		5	4	-1	11.04	$4,700	$426
Zach Ertz (PHI - TE)	Sun 1:00PM	CLE	PHI (-4)	41	PHI 23		6	7	1	10.92	$4,300	$394
Julius Thomas (JAC - TE)	Sun 1:00PM	GB	JAC (+4.5)	48	JAC 22		7	12	5	10.73	$3,800	$354
Jason Witten (DAL - TE)	Sun 4:25PM	NYG	Even	46	DAL 23		8	9	1	10.53	$4,100	$389
Dwayne Allen (IND - TE)	Sun 4:25PM	DET	IND (-3.5)	51.5	IND 28		9	18	9	10.33	$3,200	$310
Antonio Gates (SD - TE)	Sun 1:00PM	@KC	SD (+7)	44.5	SD 19		10	8	-2	9.85	$4,200	$426
Eric Ebron (DET - TE)	Sun 4:25PM	@IND	DET (+3.5)	51.5	DET 24		11	10	-1	9.58	$3,900	$407
Martellus Bennett (NE - TE)	Sun 8:30PM	@ARI	NE (+6)	47.5	NE 21		12	15	3	9.06	$3,400	$375
Clive Walford (OAK - TE)	Sun 1:00PM	@NO	OAK (+1)	51	OAK 25		13	22	9	8.98	$3,000	$334
Jared Cook (GB - TE)	Sun 1:00PM	@JAC	GB (-4.5)	48	GB 26		14	24	10	8.8	$2,900	$330
Zach Miller (CHI - TE)	Sun 1:00PM	@HOU	CHI (+6.5)	44	CHI 19		15	13	-2	8.23	$3,700	$450
Charles Clay (BUF - TE)	Sun 1:00PM	@BAL	BUF (+3)	44.5	BUF 21		16	16	0	7.69	$3,400	$442
Jimmy Graham (SEA - TE)	Sun 4:05PM	MIA	SEA (-10.5)	44	SEA 27		17	11	-6	7.6	$3,800	$500
Will Tye (NYG - TE)	Sun 4:25PM	@DAL	Even	46	NYG 23		18	17	-1	7.29	$3,300	$453
Jordan Cameron (MIA - TE)	Sun 4:05PM	@SEA	MIA (+10.5)	44	MIA 17		19	20	1	6.64	$3,000	$452
Kyle Rudolph (MIN - TE)	Sun 1:00PM	@TEN	MIN (-2)	41	MIN 22		20	21	1	6.57	$3,000	$456
Cameron Brate (TB - TE)	Sun 1:00PM	@ATL	TB (+3)	47.5	TB 22		21	26	5	6.37	$2,900	$455
Austin Seferian-Jenkins (TB - TE)	Sun 1:00PM	@ATL	TB (+3)	47.5	TB 22		22	28	6	6.34	$2,800	$442
Jacob Tamme (ATL - TE)	Sun 1:00PM	TB	ATL (-3)	47.5	ATL 25		23	27	4	5.99	$2,800	$468
Richard Rodgers (GB - TE)	Sun 1:00PM	@JAC	GB (-4.5)	48	GB 26		24	19	-5	5.19	$3,100	$597
Crockett Gillmore (BAL - TE)	Sun 1:00PM	BUF	BAL (-3)	44.5	BAL 24		25	39	14	5.03	$2,600	$517
Trey Burton (PHI - TE)	Sun 1:00PM	CLE	PHI (-4)	41	PHI 23		26	87	61	4.54	$2,500	$550
Tyler Kroft (CIN - TE)	Sun 1:00PM	@NYJ	CIN (-2.5)	41.5	CIN 22		27	33	6	4.26	$2,700	$633
Maxx Williams (BAL - TE)	Sun 1:00PM	BUF	BAL (-3)	44.5	BAL 24		28	40	12	4.13	$2,600	$629
Darren Fells (ARI - TE)	Sun 8:30PM	NE	ARI (-6)	47.5	ARI 27		29	31	2	3.95	$2,700	$684
Larry Donnell (NYG - TE)	Sun 4:25PM	@DAL	Even	46	NYG 23		30	25	-5	3.9	$2,900	$744
Jace Amaro (NYJ - TE)	Sun 1:00PM	CIN	NYJ (+2.5)	41.5	NYJ 20		31	34	3	3.85	$2,700	$701
Luke Willson (SEA - TE)	Sun 4:05PM	MIA	SEA (-10.5)	44	SEA 27		32	32	0	3.81	$2,700	$709
Ryan Griffin (HOU - TE)	Sun 1:00PM	CHI	HOU (-6.5)	44	HOU 25		33	37	4	3.7	$2,600	$703
Josh Hill (NO - TE)	Sun 1:00PM	OAK	NO (-1)	51	NO 26		34	69	35	3.66	$2,500	$683
Austin Hooper (ATL - TE)	Sun 1:00PM	TB	ATL (-3)	47.5	ATL 25		35	153	118	3.47	$2,500	$720
Kellen Davis (NYJ - TE)	Sun 1:00PM	CIN	NYJ (+2.5)	41.5	NYJ 20		36	45	9	3.46	$2,500	$723
Brent Celek (PHI - TE)	Sun 1:00PM	CLE	PHI (-4)	41	PHI 23		37	30	-7	3.3	$2,700	$818
Dion Sims (MIA - TE)	Sun 4:05PM	@SEA	MIA (+10.5)	44	MIA 17		38	77	39	3.27	$2,500	$764
Mychal Rivera (OAK - TE)	Sun 1:00PM	@NO	OAK (+1)	51	OAK 25		39	36	-3	3.17	$2,600	$819
Emmanuel Bibbs (CLE - TE)	Sun 1:00PM	@PHI	CLE (+4)	41	CLE 19		120	152	32	0	$2,500	$0
David Reeves (CLE - TE)	Sun 1:00PM	@PHI	CLE (+4)	41	CLE 19		121	109	-12	0	$2,500	$0
Brandon Pettigrew (DET - TE)	Sun 4:25PM	@IND	DET (+3.5)	51.5	DET 24		130	44	-86	0	$2,500	$0
Darren Waller (BAL - TE)	Sun 1:00PM	BUF	BAL (-3)	44.5	BAL 24		118	110	-8	0	$2,500	$0
Jason Vander Laan (NYJ - TE)	Sun 1:00PM	CIN	NYJ (+2.5)	41.5	NYJ 20		122	157	35	0	$2,500	$0
Gavin Escobar (DAL - TE)	Sun 4:25PM	NYG	Even	46	DAL 23		119	38	-81	0	$2,600	$0
Brian Parker (KC - TE)	Sun 1:00PM	SD	KC (-7)	44.5	KC 26		125	99	-26	0	$2,500	$0
Casey Pierce (GB - TE)	Sun 1:00PM	@JAC	GB (-4.5)	48	GB 26		128	101	-27	0	$2,500	$0
Anthony Fasano (TEN - TE)	Sun 1:00PM	MIN	TEN (+2)	41	TEN 20		129	43	-86	0	$2,500	$0
Khari Lee (CHI - TE)	Sun 1:00PM	@HOU	CHI (+6.5)	44	CHI 19		127	159	32	0	$2,500	$0
Braedon Bowman (JAC - TE)	Sun 1:00PM	GB	JAC (+4.5)	48	JAC 22		126	158	32	0	$2,500	$0
Connor Hamlett (CLE - TE)	Sun 1:00PM	@PHI	CLE (+4)	41	CLE 19		124	100	-24	0	$2,500	$0
 (CIN - TE)	Sun 1:00PM	@NYJ	CIN (-2.5)	41.5	CIN 22		117	42	-75	0	$2,500	$0
Asante Cleveland (SD - TE)	Sun 1:00PM	@KC	SD (+7)	44.5	SD 19		123	98	-25	0	$2,500	$0
C.J. Uzomah (CIN - TE)	Sun 1:00PM	@NYJ	CIN (-2.5)	41.5	CIN 22		113	107	-6	0	$2,500	$0
Jack Doyle (IND - TE)	Sun 4:25PM	DET	IND (-3.5)	51.5	IND 28		106	70	-36	0	$2,500	$0
Chris Gragg (BUF - TE)	Sun 1:00PM	@BAL	BUF (+3)	44.5	BUF 21		107	68	-39	0	$2,500	$0
Ryan O'Malley (OAK - TE)	Sun 1:00PM	@NO	OAK (+1)	51	OAK 25		105	141	36	0	$2,500	$0
Matt Weiser (SD - TE)	Sun 1:00PM	@KC	SD (+7)	44.5	SD 19		104	123	19	0	$2,500	$0
Ben Braunecker (CHI - TE)	Sun 1:00PM	@HOU	CHI (+6.5)	44	CHI 19		102	140	38	0	$2,500	$0
 (NYG - TE)	Sun 4:25PM	@DAL	Even	46	NYG 23		103	94	-9	0	$2,500	$0
David Morgan (MIN - TE)	Sun 1:00PM	@TEN	MIN (-2)	41	MIN 22		108	134	26	0	$2,500	$0
Thomas Duarte (MIA - TE)	Sun 4:05PM	@SEA	MIA (+10.5)	44	MIA 17		109	155	46	0	$2,500	$0
Hunter Henry (SD - TE)	Sun 1:00PM	@KC	SD (+7)	44.5	SD 19		114	154	40	0	$2,500	$0
Dennis Pitta (BAL - TE)	Sun 1:00PM	BUF	BAL (-3)	44.5	BAL 24		115	35	-80	0	$2,600	$0
Anthony Denham (HOU - TE)	Sun 1:00PM	CHI	HOU (-6.5)	44	HOU 25		112	106	-6	0	$2,500	$0
Adam Fuehne (DET - TE)	Sun 4:25PM	@IND	DET (+3.5)	51.5	DET 24		111	108	-3	0	$2,500	$0
Marcedes Lewis (JAC - TE)	Sun 1:00PM	GB	JAC (+4.5)	48	JAC 22		110	29	-81	0	$2,700	$0
Craig Stevens (TEN - TE)	Sun 1:00PM	MIN	TEN (+2)	41	TEN 20		116	41	-75	0	$2,500	$0
Brandon Myers (TB - TE)	Sun 1:00PM	@ATL	TB (+3)	47.5	TB 22		150	46	-104	0	$2,500	$0
Bear Pascoe (NE - TE)	Sun 8:30PM	@ARI	NE (+6)	47.5	NE 21		151	47	-104	0	$2,500	$0
Rob Housler (CHI - TE)	Sun 1:00PM	@HOU	CHI (+6.5)	44	CHI 19		152	51	-101	0	$2,500	$0
Stephen Anderson (HOU - TE)	Sun 1:00PM	CHI	HOU (-6.5)	44	HOU 25		101	124	23	0	$2,500	$0
Tony Moeaki (CHI - TE)	Sun 1:00PM	@HOU	CHI (+6.5)	44	CHI 19		149	48	-101	0	$2,500	$0
M.J. McFarland (PHI - TE)	Sun 1:00PM	CLE	PHI (-4)	41	PHI 23		147	104	-43	0	$2,500	$0
Clay Harbor (NE - TE)	Sun 8:30PM	@ARI	NE (+6)	47.5	NE 21		148	49	-99	0	$2,500	$0
Matthew Mulligan (DET - TE)	Sun 4:25PM	@IND	DET (+3.5)	51.5	DET 24		153	52	-101	0	$2,500	$0
Jeff Cumberland (SD - TE)	Sun 1:00PM	@KC	SD (+7)	44.5	SD 19		154	54	-100	0	$2,500	$0
Benjamin Watson (BAL - TE)	Sun 1:00PM	BUF	BAL (-3)	44.5	BAL 24		159	14	-145	0	$3,500	$0
Tyler Eifert (CIN - TE)	Sun 1:00PM	@NYJ	CIN (-2.5)	41.5	CIN 22		160	5	-155	0	$4,700	$0
 (ARI - TE)	Sun 8:30PM	NE	ARI (-6)	47.5	ARI 27		158	111	-47	0	$2,500	$0
Geoff Swaim (DAL - TE)	Sun 4:25PM	NYG	Even	46	DAL 23		157	151	-6	0	$2,500	$0
Michael Hoomanawanui (NO - TE)	Sun 1:00PM	OAK	NO (-1)	51	NO 26		155	55	-100	0	$2,500	$0
